"Date","Team","Acquired","Relinquished","Notes"
"2021-05-11","Cavaliers","• Kevin Love","","returned to lineup"
"2021-05-11","Celtics","","• Robert Williams III","placed on IL with turf toe / sprained left toe"
"2021-05-07","Suns","• Jae Crowder","","returned to lineup"
"2021-05-07","Wizards","• Rui Hachimura","","activated from IL"
"2021-05-08","76ers","","• Ben Simmons","placed on IL with back injury"
"2021-05-08","76ers","","• Seth Curry","placed on IL with left hip flexor injury"
"2021-05-08","Blazers","","• Carmelo Anthony","placed on IL with sprained right ankle"
"2021-05-08","Blazers","• T.J. Leaf","","activated from IL"
"2021-05-08","Mavericks","• J.J. Redick","","returned to lineup"
"2021-05-08","Nuggets","","• Aaron Gordon","right calf injury (DTD)"
"2021-05-08","Pacers","• Edmond Sumner","","returned to lineup"
"2021-05-08","Pistons","• Jerami Grant","","activated from IL"
"2021-05-08","Raptors","• Yuta Watanabe","","returned to lineup"
"2021-05-08","Rockets","","• Kelly Olynyk","sore right ankle (DTD)"
"2021-05-08","Rockets","• Jae'Sean Tate","","returned to lineup"
"2021-05-08","Thunder","","• Ty Jerome","placed on IL with strained left calf"
"2021-05-09","Bulls","","• Daniel Theis","placed on IL with bruised right hip"
"2021-05-09","Cavaliers","","• Cedi Osman","sore right ankle (DTD)"
"2021-05-09","Cavaliers","","• Isaiah Hartenstein","concussion (out for season)"
"2021-05-09","Cavaliers","• Kevin Love","","returned to lineup"
"2021-05-09","Celtics","• Robert Williams III","","activated from IL"
"2021-05-09","Kings","","• Hassan Whiteside","placed on IL with NBA health and safety protocols"
"2021-05-09","Lakers","","• Kyle Kuzma","tightness in lower back (DTD)"
"2021-05-09","Lakers","• Talen Horton-Tucker","","activated from IL"
"2021-05-09","Pelicans","• Nickeil Alexander-Walker","","activated from IL"
"2021-05-09","Pistons","","• Cory Joseph","sore left ankle (DTD)"
"2021-05-09","Pistons","","• Hamidou Diallo","placed on IL with NBA health and safety protocols"
"2021-05-07","76ers","","• Furkan Korkmaz","placed on IL with sprained right ankle"
"2021-05-07","Blazers","","• T.J. Leaf","placed on IL with illness"
"2021-05-07","Blazers","• Norman Powell","","returned to lineup"
"2021-05-07","Cavaliers","","• Kevin Love","bruised left knee (DTD)"
"2021-05-07","Celtics","","• Robert Williams III","placed on IL with turf toe"
"2021-05-07","Celtics","• Romeo Langford","","activated from IL"
"2021-05-07","Celtics","• Tristan Thompson","","activated from IL"
"2021-05-07","Grizzlies","• Xavier Tillman","","activated from IL"
"2021-05-07","Heat","• Jimmy Butler","","returned to lineup"
"2021-05-07","Heat","• Tyler Herro","","returned to lineup"
"2021-05-07","Jazz","• Udoka Azubuike","","activated from IL"
"2021-05-07","Kings","• Chimezie Metu","","activated from IL"
"2021-05-07","Knicks","","• Alec Burks","placed on IL with bruised left knee"
"2021-05-07","Knicks","","• Immanuel Quickley","placed on IL with sprained left ankle"
"2021-05-07","Knicks","","• Luca Vildoza","placed on IL with NBA health and safety protocols (out for season)"
"2021-05-07","Magic","","• James Ennis","placed on IL with right calf injury (out for season)"
"2021-05-07","Mavericks","","• J.J. Redick","right heel injury (DTD)"
"2021-05-07","Pelicans","","• Steven Adams","placed on IL with toe injury (out for season)"
"2021-05-07","Pelicans","","• Zion Williamson","placed on IL with fractured finger (out for season)"
"2021-05-07","Pistons","• Killian Hayes","","activated from IL"
"2021-05-07","Raptors","","• Fred VanVleet","placed on IL with left hip flexor injury (out for season)"
"2021-05-07","Rockets","","• D.J. Wilson","placed on IL with NBA health and safety protocols (out for season)"
"2021-05-07","Rockets","","• Jae'Sean Tate","bruised left knee (DTD)"
"2021-05-07","Rockets","• Danuel House","","returned to lineup"
"2021-05-07","Suns","","• Cameron Johnson","sprained right wrist (DTD)"
"2021-05-05","Magic","","• Wendell Carter Jr.","left eye abrasion (DTD)"
"2021-05-05","Pacers","","• Edmond Sumner","bruised left knee (DTD)"
"2021-05-05","Pacers","","• Malcolm Brogdon","placed on IL with sore right hamstring (out for season)"
"2021-05-05","Pacers","• Goga Bitadze","","activated from IL"
"2021-05-05","Pelicans","","• Brandon Ingram","placed on IL with sprained left ankle (out for season)"
"2021-05-05","Rockets","","• Christian Wood","sore right ankle (out for season)"
"2021-05-05","Rockets","","• Jae'Sean Tate","NBA health and safety protocols (DTD)"
"2021-05-05","Rockets","• D.J. Augustine","","returned to lineup"
"2021-05-05","Wizards","","• Rui Hachimura","placed on IL with illness"
"2021-05-06","Bucks","• Khris Middleton","","activated from IL"
"2021-05-06","Bulls","• Nikola Vucevic","","activated from IL"
"2021-05-06","Grizzlies","","• Grayson Allen","placed on IL with abdominal injury (out for season)"
"2021-05-06","Grizzlies","","• Sean McDermott","sore left foot (DTD)"
"2021-05-06","Grizzlies","","• Xavier Tillman","placed on IL with illness"
"2021-05-06","Grizzlies","• Jaren Jackson Jr.","","activated from IL"
"2021-05-06","Jazz","","• Juwan Morgan","placed on IL with right heel injury"
"2021-05-06","Lakers","","• Talen Horton-Tucker","placed on IL with strained right calf"
"2021-05-06","Pistons","","• Killian Hayes","placed on IL with illness"
"2021-05-06","Pistons","• Cory Joseph","","returned to lineup"
"2021-05-06","Pistons","• Wayne Ellington","","activated from IL"
"2021-05-06","Raptors","","• Aron Baynes","bruised left foot (DTD)"
"2021-05-06","Raptors","","• Kyle Lowry","placed on IL with back injury"
"2021-05-06","Raptors","","• Yuta Watanabe","sore right ankle (DTD)"
"2021-05-06","Raptors","• Gary Trent Jr.","","activated from IL"
"2021-05-06","Rockets","","• Kevin Porter Jr.","sprained left ankle (out for season)"
"2021-05-04","Heat","","• Jimmy Butler","flu (DTD)"
"2021-05-04","Hornets","","• Miles Bridges","placed on IL with NBA health and safety protocols"
"2021-05-04","Kings","","• Tyrese Haliburton","placed on IL with left knee injury (out for season)"
"2021-05-04","Mavericks","","• Maximilian Kleber / Maxi Kleber","right Achilles injury (DTD)"
"2021-05-04","Nuggets","","• P.J. Dozier","strained right adductor (DTD)"
"2021-05-04","Pelicans","• Steven Adams","","activated from IL"
"2021-05-04","Pistons","","• Josh Jackson","placed on IL with oral surgery"
"2021-05-04","Pistons","• Jahlil Okafor","","activated from IL"
"2021-05-04","Raptors","","• Kyle Lowry","back injury (DTD)"
"2021-05-04","Raptors","","• Ogugua Anunoby / O.G. Anunoby","placed on IL with left calf injury (out for season)"
"2021-05-04","Raptors","• Fred VanVleet","","activated from IL"
"2021-05-04","Suns","• Cameron Payne","","returned to lineup"
"2021-05-04","Thunder","","• Aleksej Pokusevski","placed on IL with bruised left knee"
"2021-05-04","Magic","• Devin Cannady","","activated from IL"
"2021-05-05","Blazers","","• Norman Powell","right knee injury (DTD)"
"2021-05-05","Bucks","","• Khris Middleton","placed on IL with sore right knee"
"2021-05-05","Bucks","• Jeff Teague","","activated from IL"
"2021-05-05","Bulls","• Zach LaVine","","activated from IL"
"2021-05-05","Cavaliers","• Isaiah Hartenstein","","returned to lineup"
"2021-05-05","Celtics","","• Jaylen Brown","placed on IL with sprained right ankle"
"2021-05-05","Celtics","","• Romeo Langford","placed on IL with concussion"
"2021-05-05","Celtics","","• Tristan Thompson","placed on IL with pectoral injury"
"2021-05-05","Celtics","• Kemba Walker","","activated from IL"
"2021-05-05","Knicks","• Nerlens Noel","","activated from IL"
"2021-05-05","Magic","","• Chuma Okeke","placed on IL with sprained left ankle (out for season)"
"2021-05-02","Nets","• Nicolas Claxton","","activated from IL"
"2021-05-02","Raptors","","• Fred VanVleet","placed on IL with left hip flexor injury"
"2021-05-02","Raptors","","• Ogugua Anunoby / O.G. Anunoby","left calf injury (out for season)"
"2021-05-02","Raptors","• Kyle Lowry","","activated from IL"
"2021-05-02","Rockets","","• D.J. Wilson","NBA health and safety protocols (out for season)"
"2021-05-02","Rockets","• Avery Bradley","","returned to lineup"
"2021-05-02","Spurs","","• Dejounte Murray","placed on IL with sore left knee"
"2021-05-02","Suns","","• Cameron Payne","bruised left knee (DTD)"
"2021-05-02","Thunder","• Aleksej Pokusevski","","activated from IL"
"2021-05-02","Thunder","• Luguentz Dort","","activated from IL"
"2021-05-03","Bucks","","• Jeff Teague","placed on IL with strained abdominal"
"2021-05-03","Bulls","","• Nikola Vucevic","placed on IL with hip injury"
"2021-05-03","Grizzlies","• Grayson Allen","","activated from IL"
"2021-05-03","Hornets","","• Cody Martin","placed on IL with sprained left ankle"
"2021-05-03","Hornets","","• Devonte' Graham","placed on IL with right knee injury"
"2021-05-03","Knicks","","• Nerlens Noel","placed on IL with sprained left ankle"
"2021-05-03","Lakers","","• LeBron James","placed on IL with sore right ankle"
"2021-05-03","Mavericks","• Tim Hardaway Jr.","","activated from IL"
"2021-05-03","Pistons","• Hamidou Diallo","","returned to lineup"
"2021-05-03","Spurs","• Dejounte Murray","","activated from IL"
"2021-05-04","76ers","","• Furkan Korkmaz","sprained right ankle (DTD)"
"2021-05-04","Bucks","• Bobby Portis","","returned to lineup"
"2021-05-04","Cavaliers","","• Darius Garland","placed on IL with sprained left ankle"
"2021-05-04","Clippers","• Patrick Beverley","","activated from IL"
"2021-05-04","Grizzlies","","• Jaren Jackson Jr.","placed on IL with left knee injury"
"2021-05-01","Hornets","• LaMelo Ball","","activated from IL"
"2021-05-01","Hornets","• Malik Monk","","activated from IL"
"2021-05-01","Hornets","• Nate Darling","","activated from IL"
"2021-05-01","Magic","","• James Ennis","right calf injury (out for season)"
"2021-05-01","Mavericks","","• J.J. Redick","placed on IL with right heel injury"
"2021-05-01","Mavericks","","• Kristaps Porzingis","placed on IL with sore right knee"
"2021-05-01","Nets","• Bruce Brown","","activated from IL"
"2021-05-01","Nets","• Kevin Durant","","returned to lineup"
"2021-05-01","Nuggets","","• Zeke Nnaji","placed on IL with sprained left ankle"
"2021-05-01","Pacers","","• Malcolm Brogdon","sore right hamstring (out for season)"
"2021-05-01","Pacers","• Domantas Sabonis / Domas Sabonis","","activated from IL"
"2021-05-01","Pistons","","• Hamidou Diallo","sore right knee (DTD)"
"2021-05-01","Raptors","","• Kyle Lowry","placed on IL"
"2021-05-01","Thunder","","• Aleksej Pokusevski","placed on IL with bruised left knee"
