"Date","Team","Acquired","Relinquished","Notes"
"2021-05-01","Hornets","","• Devonte' Graham","bruised right knee (DTD)"
"2021-04-28","Warriors","• Kent Bazemore","","activated from IL"
"2021-04-28","Wizards","• Robin Lopez","","activated from IL"
"2021-04-29","Grizzlies","","• Jaren Jackson Jr.","placed on IL with left knee injury"
"2021-04-29","Magic","","• Chuma Okeke","sprained left ankle (out for season)"
"2021-04-29","Mavericks","","• Dorian Finney-Smith","left leg injury (DTD)"
"2021-04-29","Mavericks","","• Luka Doncic","placed on IL with left elbow injury"
"2021-04-29","Mavericks","• Josh Richardson","","activated from IL"
"2021-04-29","Mavericks","• Kristaps Porzingis","","returned to lineup"
"2021-04-29","Nets","","• Kyrie Irving","placed on IL with right groin injury"
"2021-04-29","Nets","• Alize Johnson","","activated from IL"
"2021-04-29","Pelicans","","• Steven Adams","placed on IL with toe injury"
"2021-04-29","Raptors","","• Fred VanVleet","placed on IL with left hip flexor injury"
"2021-04-29","Raptors","• Jalen Harris","","activated from IL"
"2021-04-29","Rockets","","• Avery Bradley","right leg injury (DTD)"
"2021-04-29","Rockets","","• Danuel House","sore right ankle (DTD)"
"2021-04-29","Thunder","• Gabriel Deck","","activated from IL"
"2021-04-29","Timberwolves","","• Jarrett Culver","placed on IL with surgery on right ankle (out for season)"
"2021-04-29","Warriors","","• Kelly Oubre Jr.","sore left wrist (out indefinitely)"
"2021-04-30","Bucks","","• Donte DiVincenzo","placed on IL with toe injury"
"2021-04-30","Bucks","","• Giannis Antetokounmpo","placed on IL with sprained right ankle"
"2021-04-30","Bulls","","• Cristiano Felicio","placed on IL with illness"
"2021-04-30","Bulls","","• Lauri Markkanen","placed on IL with illness"
"2021-04-30","Cavaliers","• Collin Sexton","","activated from IL"
"2021-04-30","Clippers","","• Amir Coffey","placed on IL with NBA health and safety protocols"
"2021-04-30","Grizzlies","","• Grayson Allen","placed on IL with left hand injury"
"2021-04-27","Jazz","","• Mike Conley Jr.","placed on IL with right hamstring injury"
"2021-04-27","Mavericks","• J.J. Redick","","returned to lineup"
"2021-04-27","Rockets","• Avery Bradley","","returned to lineup"
"2021-04-27","Thunder","• Luguentz Dort","","activated from IL"
"2021-04-27","Thunder","• Tony Bradley","","returned to lineup"
"2021-04-28","76ers","• (James) Mike Scott","","activated from IL"
"2021-04-28","76ers","• Danny Green","","activated from IL"
"2021-04-28","Celtics","• Jayson Tatum","","activated from IL"
"2021-04-28","Celtics","• Robert Williams III","","activated from IL"
"2021-04-28","Hawks","","• Bogdan Bogdanovic","left hamstring injury (DTD)"
"2021-04-28","Hawks","","• Kevin Huerter","placed on IL with sprained left shoulder"
"2021-04-28","Heat","• Kendrick Nunn","","returned to lineup"
"2021-04-28","Kings","","• Harrison Barnes","placed on IL with tightness in left adductor (out for season)"
"2021-04-28","Knicks","• Alec Burks","","activated from IL"
"2021-04-28","Lakers","","• Alex Caruso","back spasms (DTD)"
"2021-04-28","Magic","• James Ennis","","activated from IL"
"2021-04-28","Pelicans","","• Marcos Louzada Silva / Didi Louzada Silva","NBA health and safety protocols (DTD)"
"2021-04-28","Pelicans","• James Johnson","","activated from IL"
"2021-04-28","Pelicans","• Steven Adams","","activated from IL"
"2021-04-28","Pistons","","• Cory Joseph","left ankle injury (DTD)"
"2021-04-28","Pistons","","• Jerami Grant","placed on IL with sore right knee"
"2021-04-28","Pistons","","• Wayne Ellington","placed on IL with calf injury"
"2021-04-28","Pistons","• Josh Jackson","","activated from IL"
"2021-04-28","Spurs","","• Derrick White","placed on IL with sprained right ankle (out for season)"
"2021-04-28","Thunder","• Josh Hall","","activated from IL"
"2021-04-26","Heat","","• Kendrick Nunn","neck spasms (DTD)"
"2021-04-26","Heat","• Goran Dragic","","returned to lineup"
"2021-04-26","Lakers","• Kentavious Caldwell-Pope","","returned to lineup"
"2021-04-26","Mavericks","","• J.J. Redick","right heel injury (DTD)"
"2021-04-26","Nets","","• Bruce Brown","placed on IL with sore right knee"
"2021-04-26","Pelicans","","• Steven Adams","placed on IL with toe injury"
"2021-04-26","Pistons","","• Josh Jackson","placed on IL with illness"
"2021-04-26","Raptors","","• Gary Trent Jr.","placed on IL with bruised left leg"
"2021-04-26","Raptors","• Rodney Hood","","activated from IL"
"2021-04-26","Rockets","","• John Wall (Hildred)","placed on IL with strained right hamstring (out for season)"
"2021-04-26","Rockets","• Christian Wood","","returned to lineup"
"2021-04-26","Rockets","• Kevin Porter Jr.","","activated from IL"
"2021-04-26","Spurs","• Rudy Gay","","activated from IL"
"2021-04-26","Suns","","• Abdel Nader","surgery on right knee (out indefinitely)"
"2021-04-26","Thunder","","• Tony Bradley","sprained left ankle (DTD)"
"2021-04-26","Wizards","","• Robin Lopez","placed on IL with sprained left ankle"
"2021-04-26","Wizards","• Rui Hachimura","","activated from IL"
"2021-04-26","Magic","","• Devin Cannady","surgery on right ankle to repair fracture (out indefinitely)"
"2021-04-26","Magic","","• Devin Cannady","placed on IL recovering from surgery to repair fractured right ankle"
"2021-04-27","Bucks","","• Axel Toupane","placed on IL with strained right oblique muscle"
"2021-04-27","Bucks","• P.J. Tucker","","activated from IL"
"2021-04-27","Bucks","• Rodions Kurucs","","activated from IL"
"2021-04-27","Celtics","","• Kemba Walker","placed on IL with strained left oblique muscle"
"2021-04-27","Hawks","• Louis Williams / Lou Williams","","activated from IL"
"2021-04-27","Heat","• Andre Iguodala","","returned to lineup"
"2021-04-25","Cavaliers","• Damyean Dotson","","activated from IL"
"2021-04-25","Celtics","• Kemba Walker","","activated from IL"
"2021-04-25","Grizzlies","• Jonas Valanciunas","","activated from IL"
"2021-04-25","Hawks","• Clint Capela","","returned to lineup"
"2021-04-25","Kings","• Richaun Holmes","","activated from IL"
"2021-04-25","Magic","• Wendell Carter Jr.","","returned to lineup"
"2021-04-25","Nets","• Kevin Durant","","returned to lineup"
"2021-04-25","Nets","• Tyler Johnson","","activated from IL"
"2021-04-25","Thunder","","• Luguentz Dort","placed on IL with strained right hip"
"2021-04-26","76ers","","• (James) Mike Scott","placed on IL with sore left hip"
"2021-04-26","76ers","","• Danny Green","placed on IL with left hip injury"
"2021-04-26","76ers","• Ben Simmons","","activated from IL"
"2021-04-26","76ers","• Furkan Korkmaz","","activated from IL"
"2021-04-26","76ers","• Joel Embiid","","returned to lineup"
"2021-04-26","76ers","• Paul Reed","","activated from IL"
"2021-04-26","Cavaliers","","• Isaiah Hartenstein","concussion (DTD)"
"2021-04-26","Cavaliers","","• Lamar Stevens","placed on IL with concussion (out for season)"
"2021-04-26","Cavaliers","","• Larry Nance Jr.","placed on IL with fractured right thumb (out for season)"
"2021-04-26","Cavaliers","","• Matthew Dellavedova","placed on IL with strained neck (out for season)"
"2021-04-26","Celtics","","• Jayson Tatum","placed on IL with left ankle injury"
"2021-04-26","Clippers","• Rajon Rondo","","activated from IL"
"2021-04-26","Grizzlies","• Jaren Jackson Jr.","","activated from IL"
"2021-04-26","Hawks","","• Louis Williams / Lou Williams","placed on IL with flu"
"2021-04-26","Hawks","• Kris Dunn","","activated from IL"
"2021-04-26","Heat","","• Andre Iguodala","sore left hip (DTD)"
"2021-04-24","76ers","","• Paul Reed","placed on IL with NBA health and safety protocols"
"2021-04-24","Cavaliers","","• Collin Sexton","placed on IL with concussion"
"2021-04-24","Celtics","• Jaylen Brown","","activated from IL"
"2021-04-24","Grizzlies","","• Jaren Jackson Jr.","placed on IL with left knee injury"
"2021-04-24","Heat","","• Goran Dragic","back injury (DTD)"
"2021-04-24","Heat","","• Tyler Herro","sore right foot (DTD)"
"2021-04-24","Lakers","","• Kentavious Caldwell-Pope","sprained right ankle (DTD)"
"2021-04-24","Mavericks","","• Josh Richardson","placed on IL with tightness in right hamstring"
"2021-04-24","Mavericks","","• Kristaps Porzingis","sprained left ankle (DTD)"
"2021-04-24","Mavericks","• Maximilian Kleber / Maxi Kleber","","activated from IL"
"2021-04-24","Nuggets","","• Will Barton","strained right hamstring (out indefinitely)"
"2021-04-24","Pacers","","• Goga Bitadze","placed on IL with sprained left ankle"
"2021-04-24","Pacers","• Doug McDermott","","activated from IL"
"2021-04-24","Pistons","• Cory Joseph","","activated from IL"
"2021-04-24","Pistons","• Jerami Grant","","activated from IL"
"2021-04-24","Rockets","","• Christian Wood","sore right ankle (DTD)"
"2021-04-24","Rockets","","• John Wall (Hildred)","left Achilles injury (DTD)"
"2021-04-24","Spurs","","• Rudy Gay","placed on IL with sore lower back"
"2021-04-24","Spurs","• DeMar DeRozan","","returned to lineup"
"2021-04-24","Suns","","• Dario Saric","left ankle injury (DTD)"
"2021-04-24","Timberwolves","• Jaylen Nowell","","activated from IL"
"2021-04-24","Knicks","","• Myles Powell","placed on IL with NBA health and safety protocols"
"2021-04-24","Knicks","• Myles Powell","","activated from IL"
"2021-04-25","Bucks","","• P.J. Tucker","placed on IL with sore left ankle"
"2021-04-25","Bucks","","• Rodions Kurucs","placed on IL with biceps injury"
"2021-04-22","Pistons","","• Jerami Grant","placed on IL with bruised left quadricep"
"2021-04-22","Pistons","• Killian Hayes","","activated from IL"
"2021-04-22","Spurs","","• DeMar DeRozan","bruised right quadriceps (DTD)"
"2021-04-22","Suns","","• Jae Crowder","sprained right ankle (DTD)"
"2021-04-22","Warriors","","• Damion Lee","placed on IL with NBA health and safety protocols (out for season)"
"2021-04-22","Wizards","","• Deni Avdija","placed on IL with fractured right ankle (out for season)"
"2021-04-23","Blazers","• Keljin Blevins","","activated from IL"
"2021-04-23","Blazers","• placed on IL with bruised right hip","","activated from IL"
"2021-04-23","Cavaliers","","• Taurean Prince","placed on IL with surgery on left ankle (out for season)"
"2021-04-23","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-04-23","Celtics","• Evan Fournier","","activated from IL"
"2021-04-23","Clippers","","• Rajon Rondo","placed on IL with right wrist injury"
"2021-04-23","Hawks","","• Clint Capela","back injury (DTD)"
"2021-04-23","Hawks","• Danilo Gallinari","","activated from IL"
"2021-04-23","Kings","","• De'Aaron Fox","placed on IL with NBA health and safety protocols (out for season)"
"2021-04-23","Nets","","• Alize Johnson","placed on IL with NBA health and safety protocols"
"2021-04-23","Raptors","","• Chris Boucher","placed on IL with sprained MCL in left knee"
"2021-04-23","Rockets","","• Avery Bradley","illness (DTD)"
"2021-04-23","Rockets","• Danuel House","","returned to lineup"
"2021-04-23","Thunder","• Luguentz Dort","","activated from IL"
"2021-04-23","Warriors","","• Kent Bazemore","placed on IL with NBA health and safety protocols"
"2021-04-23","Warriors","• Juan Toscano-Anderson","","returned to lineup"
"2021-04-23","Warriors","• Eric Paschall","","activated from IL"
"2021-04-23","Warriors","","• Eric Paschall","left hip flexor injury (DTD)"
"2021-04-24","76ers","","• Joel Embiid","sore right shoulder (DTD)"
"2021-04-21","Heat","• Edrice Adebayo / Bam Adebayo","","returned to lineup"
"2021-04-21","Heat","• Jimmy Butler","","returned to lineup"
"2021-04-21","Heat","• Tyler Herro","","returned to lineup"
"2021-04-21","Jazz","• Ersan Ilyasova","","activated from IL"
"2021-04-21","Nets","• Reggie Perry","","activated from IL"
"2021-04-21","Pacers","","• Doug McDermott","placed on IL with sprained left ankle"
"2021-04-21","Pacers","","• Goga Bitadze","sprained left ankle (DTD)"
"2021-04-21","Pistons","","• Killian Hayes","placed on IL with right hip injury"
"2021-04-21","Rockets","","• Kevin Porter Jr.","placed on IL with NBA health and safety protocols"
"2021-04-21","Thunder","• Isaiah Roby","","returned to lineup"
"2021-04-21","Warriors","","• Damion Lee","left big toe injury (DTD)"
"2021-04-21","Rockets","• D.J. Augustine","","activated from IL"
"2021-04-21","Rockets","","• D.J. Augustine","sprained left ankle (DTD)"
"2021-04-22","76ers","","• Furkan Korkmaz","placed on IL with sprained right ankle"
"2021-04-22","76ers","• Seth Curry","","returned to lineup"
"2021-04-22","76ers","• Tobias Harris","","activated from IL"
"2021-04-22","Celtics","","• Jaylen Brown","placed on IL with bursitis in left shoulder"
"2021-04-22","Celtics","• Kemba Walker","","activated from IL"
"2021-04-22","Hawks","","• Trae Young","placed on IL with sprained left ankle"
"2021-04-22","Heat","• Andre Iguodala","","returned to lineup"
"2021-04-22","Lakers","• Anthony Davis","","activated from IL"
"2021-04-22","Magic","","• Terrence Ross","placed on IL with back spasms (out for season)"
"2021-04-22","Magic","","• Wendell Carter Jr.","sore right ankle (DTD)"
"2021-04-22","Mavericks","","• Maximilian Kleber / Maxi Kleber","placed on IL with bruised lower back"
"2021-04-22","Pistons","","• Cory Joseph","placed on IL with left ankle injury"
"2021-04-19","Thunder","","• Luguentz Dort","placed on IL with strained right hip"
"2021-04-19","Warriors","• Kelly Oubre Jr.","","returned to lineup"
"2021-04-20","Clippers","","• Kawhi Leonard","placed on IL with sore right foot"
"2021-04-20","Hornets","• Devonte' Graham","","activated from IL"
"2021-04-20","Pelicans","","• James Johnson","placed on IL with strained right adductor"
"2021-04-20","Pistons","• Cory Joseph","","activated from IL"
"2021-04-20","Pistons","• Jerami Grant","","activated from IL"
"2021-04-20","Pistons","• Sekou Doumbouya","","activated from IL"
"2021-04-20","Raptors","","• Paul Watson","placed on IL with left knee tendinitis (out for season)"
"2021-04-20","Raptors","","• Rodney Hood","placed on IL with right knee tendinitis"
"2021-04-20","Raptors","• Fred VanVleet","","activated from IL"
"2021-04-20","Raptors","• Ogugua Anunoby / O.G. Anunoby","","activated from IL"
"2021-04-20","Raptors","• Pascal Siakam","","activated from IL"
"2021-04-21","76ers","","• Seth Curry","left hip flexor injury (DTD)"
"2021-04-21","Blazers","","• Derrick Jones Jr.","placed on IL with bruised right hip"
"2021-04-21","Blazers","","• Keljin Blevins","placed on IL with NBA health and safety protocols"
"2021-04-21","Blazers","• Damian Lillard","","returned to lineup"
"2021-04-21","Blazers","• Jusuf Nurkic","","returned to lineup"
"2021-04-21","Bulls","","• Troy Brown Jr.","placed on IL with sprained left ankle (out for season)"
"2021-04-21","Cavaliers","","• Dylan Windler","surgery on left knee (out for season)"
"2021-04-21","Celtics","• Marcus Smart","","returned to lineup"
"2021-04-21","Clippers","","• Rajon Rondo","right wrist injury (DTD)"
"2021-04-21","Grizzlies","• Dillon Brooks","","activated from IL"
"2021-04-21","Grizzlies","• Jaren Jackson Jr.","","activated from IL"
